name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
Veerabadran Enterprises Bharat Petroleum Petrol Pump,"#16, Poonamallee High Road, Koyambedu, Chennai, Tamil Nadu, India, No. 1, School St, Koyambedu, Chennai, Tamil Nadu 600107",bharatpetroleum.in,,414.0,3.8,
SUPERGAS - Auto LPG Station - Noblegas LPG Services,"208/24, Jawaharlal Nehru Salai, Jai Nagar, Arumbakkam, Chennai, Tamil Nadu 600106",supergas.com,044 4279 9998,195.0,3.8,
IndianOil,"Lock 1199/121, S No 163, Sivan Kovil S St, Ganga Nagar, Stpuliyur, Kodambakkam, Chennai, Tamil Nadu 600024",locator.iocl.com,096000 97041,138.0,3.8, Closes 10pm
"Shell Fuel Station,Koyambedu","Jawaharlal Nehru Salai, Janakiraman Colony, Koyambedu, Chennai, Tamil Nadu 600107",find.shell.com,093600 11911,91.0,3.8,
Hindustan Petroleum Corporation Limited,"Survey No 15, 12, Kaliamman Koil St, L & T Colony Phase II, Virugambakkam, Chennai, Tamil Nadu 600092",petrolpump.hpretail.in,093853 75757,332.0,3.4, Closes 10pm
Hindustan Petroleum Corporation Limited,"147/B, Poonamallee High Rd, opposite Lbear Mat School, Nerkundram, Chennai, Tamil Nadu 600107",petrolpump.hpretail.in,098409 44793,584.0,3.7, Closes 5pm
IndianOil,"Lock No 1135, No.12, 122, Jawaharlal Nehru Salai, Kanna Bala Nagar, Sri Sakthi Nagar, Arumbakkam, Chennai, Tamil Nadu 600106",locator.iocl.com,098417 23746,292.0,3.9, Closes 11:30pm
ELL KAY YES,"100ft, 31-A, Road, Jawaharlal Nehru Salai, Thirunagar, Vadapalani, Chennai, Tamil Nadu 600026",,044 2362 0302,1.0,5.0, Closes 6pm
"Bharat Petroleum, Petrol Pump -Uma Service Station","KODAMBAKKAM (OPP MEENAKSHI, Tamil Nadu 600024",,044 2375 0099,858,3.9,Petrol Pump,
"Bharat Petroleum, Petrol Pump - Sri Krishna Service Station","Kovilpathagai, Trustpuram, Kodambakkam, Avadi, Chennai, Tamil Nadu 600062",,,900,4.1,Petrol Pump,
IndianOil,"Lock No 1008, No 105, 1212, Dr Ambedkar Rd, Kodambakkam, Chennai, Tamil Nadu 600024",locator.iocl.com,093845 65656,396,3.8,Petrol Pump, Closes 10pm
IndianOil,"Lock 1199/121, S No 163, Sivan Kovil S St, Ganga Nagar, Stpuliyur, Kodambakkam, Chennai, Tamil Nadu 600024",locator.iocl.com,096000 97041,138,3.8,Petrol Pump, Closes 10pm
Hindustan Petroleum Corporation Limited,"48, Saidapet Rd, Sarvamangala Colony, Aruna Colony, Vadapalani, Chennai, Tamil Nadu 600083",petrolpump.hpretail.in,098410 37725,213,3.9,Petrol Pump,
Hindustan Petroleum Corporation Limited,"No 97, NH 34, Kodambakkam High Rd, Chennai, Tamil Nadu 600034",petrolpump.hpretail.in,091766 66042,328,4.0,Petrol Pump,
"Bharat Petroleum, Petrol Pump -Jalphiroj & Co.","STERLING ROAD CHENNAI, Chennai, Tamil Nadu 600034",,,848,4.1,Petrol Pump, Closes 10:30pm
Sarang Shopeee,"56/53, Sivan Koil St, Puthumavilangai, Muthu Thottam, Kodambakkam, Chennai, Tamil Nadu 600024",,,6,4.2,Petrol Pump,
Maruthi Agency (BPCL Dealer),"Jawaharlal Nehru Salai, Sector 10, Krupa Colony, Ashok Nagar, Chennai, Tamil Nadu 600083",,089391 00804,1269,4.0,Petrol Pump,
HP PETROL PUMP - SELVAN SERVICE STATION,"No., 25, Arcot Rd, Ottagapalayam, Kannika Puram, Saligramam, Chennai, Tamil Nadu 600093",,098410 37725,375,4.0,Petrol Pump,
"Bharat Petroleum, Petrol Pump -The Elite Petrol Service","27X3+P6W, Cathedral Rd, beside Bharat petroleum pum, Ellaiamman Colony, Teynampet, Chennai, Tamil Nadu 600006",,,417,4.0,Petrol Pump,
Cng petrol pump,"13, E Spur Tank Rd, M.S. Nagar, Sulaiman Zackria Avenue, Chetpet, Chennai, Tamil Nadu 600031",,,31,3.6,Fuel supplier,
IndianOil,"New No 141, Old No 25 Arumbakkam, Aminjikarai, Puliyur, Chennai, Tamil Nadu 600106",locator.iocl.com,098409 99855,702,3.7,Petrol Pump,
Hindustan Petroleum Corporation Limited,"32, Sir Thyagaraya Rd, T. Nagar, Chennai, Tamil Nadu 600017",petrolpump.hpretail.in,098400 23740,331,4.1,Petrol Pump, Closes 10pm
Bharat petroleum & CNG,"BHARTH PETROL PUMP, 3 A, 2nd St, K K Nagar, KK Nagar West, Nesapakkam, Chennai, Tamil Nadu 600078",anandpalanivel.com,,893,3.9,Petrol Pump,Open 24 hours
Kumaran Service Station HP Petrol Pump,"Poonamallee High Rd, Dasspuram, Chetpet, Chennai, Tamil Nadu 600010",,,85,4.0,Petrol Pump,
"Bharat Petroleum, Petrol Pump -Jalphiroj & Co.","STERLING ROAD CHENNAI, Chennai, Tamil Nadu 600034",,,848.0,4.1,Petrol Pump, Closes 10:30pm
Hindustan Petroleum Corporation Limited,"No 97, NH 34, Kodambakkam High Rd, Chennai, Tamil Nadu 600034",petrolpump.hpretail.in,091766 66042,328.0,4.0,Petrol Pump,
